company,location,title,post_date,description,url,full_desc,seniority_level,employment_type,job_function,industries
Accrete.AI,"50 Broad St, New York 10004",Senior AI Scientist,2019-07-19,"Ideally two to three years of experience with Artificial Intelligence, Quantitative and Qualitative Analytics, Deep Learning, Machine ...",https://www.linkedin.com/jobs/view/senior-ai-scientist-at-accrete-ai-1314505745?position=10&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Accrete.AI50 Broad St, New York 10004 
 
Senior AI Scientist (Location: Lower Manhattan) 
  
About You  
Responsibilities: 
 
About Us 
We believe that the way humans conduct analytical work will undergo radical transformation over the next several years. Due to an explosion in digital information and cognitive limitations of the human brain, it is impossible for human analysts to capture the true complexity associated with forecasting future events using pre-defined factors. As such, we specialize in building dynamic, continuously learning models that automate complex cognitive tasks typically performed by human analysts. Our mission at Accrete.AI is to scale human expertise and compound the world's knowledge for the purpose of making accurate predictions about the real world that impact financial markets. 
  
We accomplish this by leveraging domain experts to create semantically rich training data on the order of less than 1% of the data from which our models continuously learn. As a result, we are able to produce a non-linear return on the cognitive effort expended by domain experts. Our dynamic continuously learning models, activated by proprietary mathematical functions, underlie an AI platform with a variety of core capabilities including intelligent web crawling, contextual analytics and semantic search. Leveraging these core capabilities, we build smart analytical tools that continuously read, understand and learn in specialized ways. As our smart analytical tools learn, they extract hidden features buried in complexity that surface predictive insights that would be impossible to find using traditional intelligence and tools. 
 
Our products are helping customers generate alpha by identifying and ranking sources most likely to publish reliable, market moving M&A rumors; monitor important shifts in topical nuance based on the interplay between management commentary and analyst questions in earnings transcripts; and monitor patient chatter on the efficacy and safety of clinical drug trials.  
 
Based in Lower Manhattan, Accrete has a majority interest in NYC based Shinrai, an AI Services subsidiary. 
 
 
If you’re the right person for the job, we look forward to hearing from you! 
",Mid-Senior level,Full-time,"Information Technology, Research","Information Technology and Services, Research"
eFinancialCareers,"New York City, NY, US",AI Research Scientist - NLP,2019-07-27,"5+ years of experience in AI, NLP, ML, Optimization, or related fields. 5+ years of experience programming in C++, Python or Java. ...",https://www.linkedin.com/jobs/view/ai-research-scientist-nlp-at-efinancialcareers-1406363197?position=11&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"eFinancialCareersNew York City, NY, US 
",Associate,Full-time,Information Technology,Staffing and Recruiting
Facebook,"New York City, NY, US",Visiting Scientist - Facebook AI Applied Research (US),2019-07-26,Facebook is seeking Visiting Scientists to join our Facebook Artificial Intelligence Applied Research team. Facebook's mission is to give...,https://www.linkedin.com/jobs/view/visiting-scientist-facebook-ai-applied-research-us-at-facebook-1380830697?position=12&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"FacebookNew York City, NY, US 
",Not Applicable,Full-time,"Research, Analyst, Information Technology",Internet
Paige.AI,"Roosevelt Island, NY, US",AI Scientist,2019-04-03,"We're looking for AI Scientists to join us. We are backed by a $25 million series A financing and are the first to have AIRI, the most ...",https://www.linkedin.com/jobs/view/ai-scientist-at-paige-ai-1184508871?position=13&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Paige.AIRoosevelt Island, NY, US 
",Associate,Full-time,Other,"Information Technology and Services, Computer Software, Internet"
Quantitative Systems,"New York, New York, United States",AI Research Scientist,2019-08-02,"This team not only builds the models, but also writes the software to build the models, as well as maintains the services that run these ...",https://www.linkedin.com/jobs/view/ai-research-scientist-at-quantitative-systems-878769504?position=14&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Quantitative SystemsNew York, New York, United States 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Our teams work on various aspects of machine learning, but because most of the data we deal with is text, our focus is usually problems around natural language processing.Focus areas of individual teams align with the needs of customer facing products. We also have teams which focus building the tools and infrastructure for NLP and Machine Learning throughout the company.This team not only builds the models, but also writes the software to build the models, as well as maintains the services that run these models over the news text in real time.As a team member, your responsibilities will include ALL of:- exploring models which perform well for our tasks,- implementing the software that will build/train/deploy these in production,- implementing the services that run the models,- maintaining the services that run the models and automation of these servicesThis means you will need to spend time reading papers to learn about the latest research in the specific problem you are working on, and use the publicly available tools when suitable. Also, you need to be able to implement your own improvements. You will also need to be able to write production quality code, and use good software engineering practices.SkillsExpertise: deep technical expertise in AI and machine learning, including a PhD in a technical field or the practical equivalent of a PhDImpact: a record of innovation and productivityTeam player: a desire to engage with a larger research teamSelf-sufficiency: self-directed, self-motivated, self-sufficient, thus being able to make progress with limited oversightPassion: passionate about AI and machine learning and how it can improve on the worldOriginality: risk taking, defying conventional thinkingCommunication: able to clearly explain complex ideas 
",Mid-Senior level,Full-time,"Information Technology, Engineering","Internet, Computer & Network Security, Computer Software"
Google,"New York City, NY, US",Research Intern,2019-06-26,"Experience (classroom or work related) in one or more areas of computer science, such as Natural Language Understanding, Neural Networks,...",https://www.linkedin.com/jobs/view/research-intern-at-google-1341456120?position=15&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"GoogleNew York City, NY, US 
",Internship,Full-time,"Education, Training","Information Services, Internet"
CyberCoders,"New York City, NY, US","AI Scientist - Healthcare, Image Analysis, Computer Vision",2019-08-03,Ph.D. or MS in computer science or related discipline with work experience as a Research Scientist in Machine Learning and Natural ...,https://www.linkedin.com/jobs/view/ai-scientist-healthcare-image-analysis-computer-vision-at-cybercoders-1398319804?position=16&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"CyberCodersNew York City, NY, US 
",Mid-Senior level,Full-time,Information Technology,Computer Software
Facebook,"New York City, NY, US",Visiting Scientist - Facebook AI Research (US),2019-07-26,Facebook is seeking Visiting Scientists to join our Facebook Artificial Intelligence Research team. Facebook's mission is to give people ...,https://www.linkedin.com/jobs/view/visiting-scientist-facebook-ai-research-us-at-facebook-1380828865?position=17&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"FacebookNew York City, NY, US 
",Not Applicable,Full-time,"Research, Analyst, Information Technology",Internet
Cyndx Networks,"New York City, NY, US",AI Research Scientist,2019-06-11,"3+ years of research experience applying ML to business problems, including NLP and time series/sequential data. Experience using ...",https://www.linkedin.com/jobs/view/ai-research-scientist-at-cyndx-networks-1357891842?position=18&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Cyndx NetworksNew York City, NY, US 
",Associate,Full-time,Other,"Information Technology and Services, Computer Software, Internet"
IBM,"New York City, NY, US",Research Staff Member,2019-08-01,We are currently looking for talented researchers with interest in system design and implementation as well as experience in one or more ...,https://www.linkedin.com/jobs/view/research-staff-member-at-ibm-1406278667?position=19&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"IBMNew York City, NY, US 
",Entry level,Full-time,Research,"Information Technology and Services, Computer Software, Human Resources"
